ensembl_gene_id	go_id
ENSCABG00000000073	GO:0045759
ENSCABG00000000073	GO:0048814
ENSCABG00000000073	GO:0051899
ENSCABG00000000073	GO:0051963
ENSCABG00000000073	GO:0060084
ENSCABG00000000073	GO:0095500
ENSCABG00000000073	GO:0015464
ENSCABG00000000073	GO:0042166
ENSCABG00000000073	GO:1904315
ENSCABG00000000073	GO:0007165
ENSCABG00000000073	GO:0050877
ENSCABG00000000073	GO:0050890
ENSCABG00000000073	GO:2000300
ENSCABG00000000073	GO:0005886
ENSCABG00000000073	GO:0005892
ENSCABG00000000073	GO:0009897
ENSCABG00000000073	GO:0098691
ENSCABG00000000073	GO:0098981
ENSCABG00000000073	GO:0099056
ENSCABG00000000073	GO:0099060
ENSCABG00000000074	GO:0016021
ENSCABG00000000074	GO:0004930
ENSCABG00000000074	GO:0007186
ENSCABG00000000074	GO:0030595
ENSCABG00000000074	GO:0008142
ENSCABG00000000074	GO:0002250
ENSCABG00000000074	GO:0002313
ENSCABG00000000074	GO:0002407
ENSCABG00000000074	GO:0006959
ENSCABG00000000074	GO:0010818
ENSCABG00000000074	GO:0030316
ENSCABG00000000074	GO:0030890
ENSCABG00000000074	GO:0036145
ENSCABG00000000074	GO:0060326
ENSCABG00000000074	GO:0061470
ENSCABG00000000074	GO:0070374
ENSCABG00000000074	GO:2000458
ENSCABG00000000074	GO:0005886
ENSCABG00000000075	GO:0048484
ENSCABG00000000075	GO:0042310
ENSCABG00000000075	GO:0008217
ENSCABG00000000075	GO:0004962
ENSCABG00000000075	GO:0016021
ENSCABG00000000075	GO:0004930
ENSCABG00000000075	GO:0007186
ENSCABG00000000080	GO:0004878
ENSCABG00000000080	GO:0016021
ENSCABG00000000080	GO:0004930
ENSCABG00000000080	GO:0007186
ENSCABG00000000081	GO:0016579
ENSCABG00000000081	GO:0016874
ENSCABG00000000081	GO:0016787
ENSCABG00000000081	GO:0006511
ENSCABG00000000081	GO:0004843
ENSCABG00000000082	GO:0035023
ENSCABG00000000082	GO:0005089
ENSCABG00000000084	GO:0006935
ENSCABG00000000084	GO:0004950
ENSCABG00000000084	GO:0016021
ENSCABG00000000084	GO:0004930
ENSCABG00000000084	GO:0007186
ENSCABG00000000086	GO:0016021
ENSCABG00000000086	GO:0004930
ENSCABG00000000086	GO:0007186
ENSCABG00000000087	GO:0030695
ENSCABG00000000087	GO:0005085
ENSCABG00000000087	GO:0005515
ENSCABG00000000088	GO:0007601
ENSCABG00000000088	GO:0048038
ENSCABG00000000088	GO:0009308
ENSCABG00000000088	GO:0005507
ENSCABG00000000088	GO:0008131
ENSCABG00000000088	GO:0055114
ENSCABG00000000089	GO:0030976
ENSCABG00000000090	GO:0016772
ENSCABG00000000091	GO:0007165
ENSCABG00000000091	GO:0005515
ENSCABG00000000092	GO:0007264
ENSCABG00000000092	GO:0005085
ENSCABG00000000092	GO:0005088
ENSCABG00000000092	GO:0016477
ENSCABG00000000092	GO:0046579
ENSCABG00000000093	GO:0005829
ENSCABG00000000093	GO:0005737
ENSCABG00000000094	GO:0004386
ENSCABG00000000094	GO:0000956
ENSCABG00000000094	GO:2000623
ENSCABG00000000097	GO:0008582
ENSCABG00000000097	GO:0071340
ENSCABG00000000097	GO:0090150
ENSCABG00000000097	GO:0005886
ENSCABG00000000097	GO:0030054
ENSCABG00000000097	GO:0031594
ENSCABG00000000098	GO:0005654
ENSCABG00000000098	GO:0005829
ENSCABG00000000098	GO:0016180
ENSCABG00000000098	GO:0005634
ENSCABG00000000098	GO:0005737
ENSCABG00000000098	GO:0032039
ENSCABG00000000100	GO:0003726
ENSCABG00000000100	GO:0006396
ENSCABG00000000100	GO:0004000
ENSCABG00000000100	GO:0003723
ENSCABG00000000100	GO:0005654
ENSCABG00000000100	GO:0005737
ENSCABG00000000100	GO:0005634
ENSCABG00000000100	GO:0001649
ENSCABG00000000100	GO:0002244
ENSCABG00000000100	GO:0002566
ENSCABG00000000100	GO:0030218
ENSCABG00000000100	GO:0035196
